10A,43,168,100,36,1493,252,361,102,23,991,80
358,1,0,2,0,69,64,2,4,2,242,0
14O,48,146,136,46,1734,323,487,113,57,1142,46
11K,74,166,211,63,2516,474,876,211,121,2378,70
7G,128,315,239,66,3625,625,857,286,62,2047,89
260A,0,0,0,0,4,0,1,0,0,13,0
91A,0,0,0,0,4,0,4,0,0,3,0
272,8,10,4,11,303,48,156,28,0,266,12
7C,0,0,0,0,5,0,1,0,0,1,0
261A,6,8,13,11,194,24,61,14,2,199,8
37,168,245,436,83,6140,836,1413,340,95,2412,149
367,0,1,0,3,81,1,11,1,0,157,0
122,2,3,1,3,41,6,13,3,1,121,1
4,276,295,712,57,7343,923,1477,491,120,1305,99
328B,9,13,12,3,299,12,22,10,8,226,5
21,3,4,5,1,130,1,4,5,0,36,0
273,8,8,8,20,155,26,128,12,6,485,4
11D,168,314,522,39,4713,600,914,188,42,1353,97
13O,0,0,0,0,0,0,0,0,0,0,0
95,105,145,186,419,4453,410,1688,305,93,4054,110
14L,30,43,106,3,1300,99,191,30,7,187,17
33A,0,1,3,2,135,3,2,4,1,32,1
10,150,431,513,72,4696,836,1347,457,170,2462,100
326A,17,59,60,10,1084,102,160,44,19,552,16
153,66,72,91,44,2263,179,395,113,28,1427,51
187,0,1,1,3,18,6,6,3,0,12,3
10B,130,340,429,34,4206,611,833,228,60,1235,87
184,97,64,34,86,2803,97,753,154,40,1272,40
331,28,83,69,34,1174,124,281,66,26,1270,26
54A,0,0,0,0,26,0,6,2,0,9,0
11M,62,123,220,7,2758,105,182,43,17,365,11
138C,0,3,0,3,38,2,20,3,0,124,1
46B,0,1,0,2,66,0,5,1,0,11,0
167,6,3,6,9,296,7,21,10,1,422,1
110A,0,1,2,1,16,0,0,1,0,43,0
14M,106,229,417,16,4255,366,576,123,60,635,48
52,0,4,0,2,21,2,14,1,0,24,0
266A,0,0,0,0,7,0,11,0,1,36,0
86,2,2,2,5,289,5,27,9,2,98,4
7A,26,120,98,46,1469,223,426,152,24,1602,41
59,9,12,9,25,518,29,76,41,11,259,6
400,18,12,29,29,965,36,102,42,10,703,21
10G,244,420,692,69,6072,1108,1771,486,131,2030,144
138A,0,0,0,0,1,0,0,0,0,9,0
141,0,0,0,1,8,0,2,0,0,15,0
336,75,79,90,72,3025,258,731,145,30,2930,56
316G,11,29,15,12,462,59,132,40,24,334,15
108,11,9,3,12,281,7,39,10,4,413,5
147A,9,22,15,13,355,57,83,17,4,331,28
13D,21,90,54,15,663,121,159,63,14,617,28
5C,155,513,499,108,6036,748,1131,307,81,2699,120
259,0,0,0,0,2,0,0,0,0,8,0
6C,166,250,426,34,4499,558,831,211,47,970,60
251,0,0,0,1,13,0,0,0,0,64,0
192,1,3,0,4,154,2,15,7,4,142,0
349,25,28,44,53,1472,119,199,56,16,1436,27
5B,14,75,48,8,759,69,135,68,8,227,10
10L,171,603,380,150,6007,1173,1690,475,253,5198,180
230A,5,6,3,2,293,8,9,9,0,163,6
131,47,64,90,88,3167,140,780,121,36,1957,68
18C,0,0,0,0,0,0,0,0,0,0,0
144,4,6,4,6,43,11,65,13,3,213,0
152,43,80,54,49,1484,174,473,79,27,1260,60
120,37,44,48,60,2709,69,258,81,36,784,24
227B,3,2,2,2,107,5,71,1,1,58,1
188,1376,391,607,520,23328,1367,5167,954,406,14826,429
301,30,10,5,12,538,10,43,15,7,460,5
258,2,9,2,6,154,7,23,5,2,211,4
222,4,3,6,11,403,7,10,18,3,178,1
147B,7,26,30,10,733,71,149,26,16,316,19
376,1,2,0,2,116,1,5,1,2,208,0
43B,1,1,0,1,55,0,4,0,0,50,0
219,0,4,4,1,70,2,2,0,0,37,0
186,271,171,170,199,4497,391,2189,401,140,7487,146
9C,132,308,343,47,4460,582,964,230,90,2015,130
16C,0,6,1,2,25,5,4,5,0,25,0
175,1,0,0,0,20,1,7,2,1,14,1
269A,3,1,5,9,51,3,36,6,2,152,2
121,9,19,8,19,633,24,62,22,13,643,9
391,45,41,29,60,2043,62,631,59,19,1357,27
158,111,84,95,51,1920,221,795,86,27,814,56
316C,0,4,1,0,42,3,26,5,1,46,1
132,7,13,6,16,897,25,79,16,9,824,15
146A,2,2,1,4,30,1,13,1,2,112,1
338,4,6,4,9,451,17,71,14,2,750,8
244,8,15,28,15,719,22,103,22,2,743,7
13B,1,4,2,2,24,2,15,2,0,27,2
340,58,87,60,94,3957,177,370,132,38,1783,68
267,1,4,5,8,37,5,12,1,2,227,1
54,5,12,18,18,295,116,557,54,12,561,23
231,6,0,2,2,183,3,14,3,0,79,2
31B,1,1,5,3,76,24,61,8,2,80,3
172,87,37,27,48,1599,64,295,59,23,1141,26
34,54,164,131,65,2446,377,726,198,67,3049,57
142A,0,1,0,2,13,2,6,0,0,83,0
201,0,0,0,0,56,0,3,0,0,39,0
40A,120,353,359,37,4061,485,1079,207,55,1153,99
209,1,2,0,3,63,3,7,4,0,15,0
2,52,100,183,21,1914,259,457,145,31,528,48
31A,19,38,62,18,799,122,242,43,29,267,26
227A,2,1,1,6,72,5,12,6,0,100,3
66,4,8,6,22,639,19,70,32,10,242,7
7E,193,381,404,69,5193,846,1292,312,131,2204,138
