parCodigo,parSiglas,parDenominacion,parColor
"0002","JUSTICIALISTA            ","JUSTICIALISTA                                                                                       ","96f837"
"0006","INTRANSIGENTE            ","INTRANSIGENTE                                                                                       ","7f35f2"
"0008","FEDERAL                  ","FEDERAL                                                                                             ","071d03"
"0022","HUMANISTA                ","HUMANISTA                                                                                           ","7ecad6"
"0023","UNION POPULAR            ","UNION POPULAR                                                                                       ","C00000"
"0033","NACIONALISTA CONSTITUCION","NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ","23f681"
"0038","MOVIMIENTO SOCIALISTA DE ","MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ","F79646"
"0040","MOVIMIENTO LIBRES DEL SUR","MOVIMIENTO LIBRES DEL SUR                                                                           ","820000"
"0047","COALICION CIVICA - ARI   ","COALICION CIVICA - ARI                                                                              ","c15533"
"0050","SOCIALISTA               ","SOCIALISTA                                                                                          ","66CCFF"
"0061","IZQUIERDA POR UNA OPCION ","IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ","00B0F0"
"0065","UNION CELESTE Y BLANCO   ","UNION CELESTE Y BLANCO                                                                              ","FF5050"
"0069","GEN                      ","GEN                                                                                                 ","FFFF00"
"0070","DE TRABAJADORES POR EL SO","DE TRABAJADORES POR EL SOCIALISMO                                                                   ","CC3300"
"0071","DEL OBRERO               ","DEL OBRERO                                                                                          ","DDD9C3"
"0072","INSTRUMENTO ELECTORAL POR","INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ","CCC0DA"
"0074","DEL TRABAJO Y DEL PUEBLO ","DEL TRABAJO Y DEL PUEBLO                                                                            ","FFCCFF"
"0076","DE LA CULTURA LA EDUCACIO","DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ","07ad0b"
"0079","RENOVADOR FEDERAL        ","RENOVADOR FEDERAL                                                                                   ","4c63ef"
"0082","COMPROMISO FEDERAL       ","COMPROMISO FEDERAL                                                                                  ","a5c893"
"0083","MOVIMIENTO POLITICO, SOCI","MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ","8a4e3b"
"0110","DEFENSA COMUNAL DE E.DE L","DEFENSA COMUNAL DE E.DE LA CRUZ                                                                     ","719445"
"0151","MOVIMIENTO POPULAR NEUQUI","MOVIMIENTO POPULAR NEUQUINO                                                                         ","6666FF"
"0153","SOCIALISTA AUTENTICO DEL ","SOCIALISTA AUTENTICO DEL CHUBUT                                                                     ","414141"
"0159","MOVIMIENTO NORTE GRANDE  ","MOVIMIENTO NORTE GRANDE                                                                             ","026ea8"
"0165","NUEVO OCTUBRE            ","NUEVO OCTUBRE                                                                                       ","993366"
"0167","FEDERAL FUEGUINO         ","FEDERAL FUEGUINO                                                                                    ","3d04cd"
"0168","MOVIMIENTO DE VIDA Y COMP","MOVIMIENTO DE VIDA Y COMPROMISO                                                                     ","240d2f"
"0170","MOVIMIENTO DE PARTICIPACI","MOVIMIENTO DE PARTICIPACION CIUDADANA                                                               ","e19c02"
"0171","MOVIMIENTO INDEPENDIENTE ","MOVIMIENTO INDEPENDIENTE RENOVADOR                                                                  ","a20e1d"
"0172","NUEVA DIRIGENCIA         ","NUEVA DIRIGENCIA                                                                                    ","aa6d14"
"0174","POPULAR                  ","POPULAR                                                                                             ","fe1abb"
"0175","DEMOCRATA                ","DEMOCRATA                                                                                           ","97b7c3"
"0176","FRENTE RENOVADOR AUTENTIC","FRENTE RENOVADOR AUTENTICO                                                                          ","4928fb"
"0178","ACCION CIUDADANA         ","ACCION CIUDADANA                                                                                    ","54d07d"
"0179","CIUDADANOS A GOBERNAR    ","CIUDADANOS A GOBERNAR                                                                               ","F2DDDC"
"0180","FUERZA REPUBLICANA       ","FUERZA REPUBLICANA                                                                                  ","FDE9D9"
"0181","VERDE                    ","VERDE                                                                                               ","de626c"
"0182","ACCION POR UNA DEMOCRACIA","ACCION POR UNA DEMOCRACIA NUEVA                                                                     ","301946"
"0184","AGRARIO Y SOCIAL         ","AGRARIO Y SOCIAL                                                                                    ","f6ab0b"
"0185","SOCIALISTA AUTENTICO     ","SOCIALISTA AUTENTICO                                                                                ","42a988"
"0186","NUEVA IZQUIERDA          ","NUEVA IZQUIERDA                                                                                     ","D7E4BC"
"0187","AUTODETERMINACION Y LIBER","AUTODETERMINACION Y LIBERTAD                                                                        ","D7E4BC"
"0188","UNITE POR LA LIBERTAD Y L","UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ","00B050"
"0190","DE LOS TRABAJADORES SOCIA","DE LOS TRABAJADORES SOCIALISTAS                                                                     ","E46D0A"
"0194","OBRERO                   ","OBRERO                                                                                              ","663300"
"0201","PRIMERO LA GENTE         ","PRIMERO LA GENTE                                                                                    ","780c9b"
"0202","CIUDAD FUTURA            ","CIUDAD FUTURA                                                                                       ","CCFFCC"
"0203","SALTA SOMOS TODOS        ","SALTA SOMOS TODOS                                                                                   ","CCFF66"
"0207","INICIATIVA POR LA UNION  ","INICIATIVA POR LA UNION                                                                             ","ae812b"
"0210","MOVIMIENTO INTEGRACION LA","MOVIMIENTO INTEGRACION LATINOAMERICANA DE EXPRESION SOCIAL                                          ","cd539e"
"0211","AUTONOMISTA              ","AUTONOMISTA                                                                                         ","4105aa"
"0212","PRINCIPIOS Y CONVICCION  ","PRINCIPIOS Y CONVICCION                                                                             ","CCECFF"
"0215","RENACER POLITICO Y SOCIAL","RENACER POLITICO Y SOCIAL                                                                           ","9b7727"
"0216","MOVIMIENTO AUTENTICO POPU","MOVIMIENTO AUTENTICO POPULAR                                                                        ","924df7"
"0217","ENCUENTRO VECINAL CORDOBA","ENCUENTRO VECINAL CORDOBA                                                                           ","14350a"
"0221","PODEMOS CON LA IZQUIERDA ","PODEMOS CON LA IZQUIERDA                                                                            ","c2ac5a"
"0231","POLITICA ABIERTA PARA LA ","POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL                                                          ","73e036"
"0259","DEL CAMPO POPULAR        ","DEL CAMPO POPULAR                                                                                   ","7d33b2"
"0262","EL MOVIMIENTO            ","EL MOVIMIENTO                                                                                       ","f3f733"
"0268","MOVIMIENTO AMPLIO DE TRAB","MOVIMIENTO AMPLIO DE TRABAJADORES Y JUBILADOS                                                       ","4D4D4D"
"0298","TODOS POR BUENOS AIRES   ","TODOS POR BUENOS AIRES                                                                              ","538ED5"
"0301","PATRIA GRANDE            ","PATRIA GRANDE                                                                                       ","FF99CC"
"0309","MOVIMIENTO ORGANIZACION D","MOVIMIENTO ORGANIZACION DEMOCRATICA                                                                 ","c9e7b2"
"0318","MOVIMIENTO PARA LA VICTOR","MOVIMIENTO PARA LA VICTORIA                                                                         ","70f50e"
"0319","UNION VECINAL DE GUAMINI ","UNION VECINAL DE GUAMINI                                                                            ","431e0c"
"0327","BANDERA VECINAL          ","BANDERA VECINAL                                                                                     ","002f31"
"0364","ACCION MARPLATENSE       ","ACCION MARPLATENSE                                                                                  ","59909e"
"0382","IVR-INT.VECINALISTA ROSAL","IVR-INT.VECINALISTA ROSALEÑA                                                                        ","4eb6f6"
"0484","NAC-NUEVA ALTERNATIVA CAR","NAC-NUEVA ALTERNATIVA CARMEÑA                                                                       ","33364f"
"0501","FRENTE PARA LA VICTORIA  ","FRENTE PARA LA VICTORIA                                                                             ","538ed5"
"0502","CAMBIEMOS                ","CAMBIEMOS                                                                                           ","ffff00"
"0503","FRENTE DE IZQUIERDA Y DE ","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ","CCCC00"
"0504","FRENTE DE IZQUIERDA Y DE ","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTIDO OBRERO + IZQUIERDA POR UNA OPCION SOCIALISTA    ","CCC0DA"
"0505","FRENTE DE LA VICTORIA    ","FRENTE DE LA VICTORIA                                                                               ","c7ff15"
"0510","1 PROYECTO SANTAFESINO   ","1 PROYECTO SANTAFESINO                                                                              ","C00000"
"0511","1PAIS                    ","1PAIS                                                                                               ","745dee"
"0512","1 PAIS - SOMOS SAN JUAN  ","1 PAIS - SOMOS SAN JUAN                                                                             ","1c409e"
"0513","1PAIS FRENTE RENOVADOR NE","1PAIS FRENTE RENOVADOR NEUQUEN +A                                                                   ","ca6828"
"0514","ALTERNATIVA POPULAR RIOJA","ALTERNATIVA POPULAR RIOJANA                                                                         ","ffff00"
"0515","AVANCEMOS HACIA 1PAIS MEJ","AVANCEMOS HACIA 1PAIS MEJOR                                                                         ","268c8a"
"0516","AVANZAR Y CAMBIEMOS POR S","AVANZAR Y CAMBIEMOS POR SAN LUIS                                                                    ","ffff00"
"0517","CAMBIEMOS - FUERZA CIVICA","CAMBIEMOS - FUERZA CIVICA RIOJANA                                                                   ","ffff00"
"0518","CAMBIEMOS BUENOS AIRES   ","CAMBIEMOS BUENOS AIRES                                                                              ","ffff00"
"0519","CAMBIEMOS CHUBUT         ","CAMBIEMOS CHUBUT                                                                                    ","ffff00"
"0520","CAMBIEMOS PAIS           ","CAMBIEMOS PAIS                                                                                      ","ffff00"
"0521","CAMBIEMOS PARA EL BICENTE","CAMBIEMOS PARA EL BICENTENARIO                                                                      ","ffff00"
"0522","CAMBIEMOS POR SAN JUAN   ","CAMBIEMOS POR SAN JUAN                                                                              ","ffff00"
"0523","CAMBIEMOS RIO NEGRO      ","CAMBIEMOS RIO NEGRO                                                                                 ","ffff00"
"0524","CAMBIEMOS TIERRA DEL FUEG","CAMBIEMOS TIERRA DEL FUEGO                                                                          ","ffff00"
"0525","CONVOCATORIA ABIERTA POR ","CONVOCATORIA ABIERTA POR BUENOS AIRES                                                               ","FF9933"
"0526","CREO                     ","CREO                                                                                                ","07ad0b"
"0527","ENCUENTRO POPULAR POR TIE","ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO                                                        ","CC3300"
"0528","ENCUENTRO POR CORRIENTES ","ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS                                                          ","ffff00"
"0529","ENCUENTRO POR MENDOZA    ","ENCUENTRO POR MENDOZA                                                                               ","CCC0DA"
"0530","ESPACIO GRANDE           ","ESPACIO GRANDE                                                                                      ","ffff00"
"0531","EVOLUCION                ","EVOLUCION                                                                                           ","07ad0b"
"0532","FRENTE AMPLIO FORMOSEÑO C","FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                                                                   ","ffff00"
"0533","FRENTE AMPLIO TUCUMANO   ","FRENTE AMPLIO TUCUMANO                                                                              ","ac67f1"
"0534","FRENTE AVANCEMOS         ","FRENTE AVANCEMOS                                                                                    ","2acb16"
"0535","FRENTE CAMBIEMOS         ","FRENTE CAMBIEMOS                                                                                    ","ffff00"
"0536","FRENTE CAMBIEMOS LA PAMPA","FRENTE CAMBIEMOS LA PAMPA                                                                           ","ffff00"
"0537","FRENTE CHACO MERECE MAS  ","FRENTE CHACO MERECE MAS                                                                             ","f772df"
"0538","FRENTE CHUBUT PARA TODOS ","FRENTE CHUBUT PARA TODOS                                                                            ","392da7"
"0539","FRENTE CIUDADANO PARA LA ","FRENTE CIUDADANO PARA LA VICTORIA                                                                   ","c89821"
"0540","FRENTE CIUDADANO Y SOCIAL","FRENTE CIUDADANO Y SOCIAL                                                                           ","1d602e"
"0541","FRENTE CIVICO POR SANTIAG","FRENTE CIVICO POR SANTIAGO                                                                          ","d37c5f"
"0542","FRENTE CIVICO Y SOCIAL - ","FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  ","ffff00"
"0543","FRENTE CORDOBA CIUDADANA ","FRENTE CORDOBA CIUDADANA                                                                            ","c49b93"
"0544","FRENTE DE UNIDAD CIUDADAN","FRENTE DE UNIDAD CIUDADANA                                                                          ","1597d1"
"0545","FRENTE JUJEÑO CAMBIEMOS  ","FRENTE JUJEÑO CAMBIEMOS                                                                             ","ffff00"
"0546","FRENTE JUSTICIALISTA     ","FRENTE JUSTICIALISTA                                                                                ","9d7fa5"
"0547","FRENTE JUSTICIALISTA PARA","FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ","dcfb45"
"0548","FRENTE JUSTICIALISTA POR ","FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ","ad1624"
"0549","FRENTE JUSTICIALISTA RIOJ","FRENTE JUSTICIALISTA RIOJANO                                                                        ","31f65d"
"0550","FRENTE JUSTICIALISTA SOMO","FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ","0844d0"
"0551","FRENTE NEUQUINO          ","FRENTE NEUQUINO                                                                                     ","3b4674"
"0552","FRENTE PATRIOTA BANDERA V","FRENTE PATRIOTA BANDERA VECINAL                                                                     ","2cbf10"
"0553","FRENTE POPULAR PARA LA LI","FRENTE POPULAR PARA LA LIBERACION                                                                   ","fc507a"
"0554","FRENTE PROGRESISTA CIVICO","FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  ","80331c"
"0555","FRENTE PROGRESISTA PAMPEA","FRENTE PROGRESISTA PAMPEANO                                                                         ","bf2086"
"0556","FRENTE PROGRESISTA POPULA","FRENTE PROGRESISTA POPULAR                                                                          ","5426b3"
"0557","FRENTE RENOVADOR - 1PAIS ","FRENTE RENOVADOR - 1PAIS                                                                            ","b3f2e8"
"0558","FRENTE RENOVADOR 1PAIS   ","FRENTE RENOVADOR 1PAIS                                                                              ","469e3c"
"0559","FRENTE RENOVADOR DE LA CO","FRENTE RENOVADOR DE LA CONCORDIA                                                                    ","46054a"
"0560","FRENTE SOCIAL Y POPULAR  ","FRENTE SOCIAL Y POPULAR                                                                             ","93e49d"
"0561","FRENTE SOCIALISTA Y POPUL","FRENTE SOCIALISTA Y POPULAR                                                                         ","bfdbcf"
"0562","FRENTE SOMOS MENDOZA     ","FRENTE SOMOS MENDOZA                                                                                ","e66a31"
"0563","FRENTE TIERRA DE UNION   ","FRENTE TIERRA DE UNION                                                                              ","e53311"
"0564","FRENTE TODOS             ","FRENTE TODOS                                                                                        ","2c15c5"
"0565","FRENTE UNIDAD JUSTICIALIS","FRENTE UNIDAD JUSTICIALISTA SAN LUIS                                                                ","d439bc"
"0566","FRENTE UNIDAD Y RENOVACIO","FRENTE UNIDAD Y RENOVACION                                                                          ","ccca7b"
"0567","IZQUIERDA AL FRENTE POR E","IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               ","ef368b"
"0568","JUNTOS PODEMOS MAS       ","JUNTOS PODEMOS MAS                                                                                  ","6891fc"
"0569","JUNTOS SOMOS RIO NEGRO   ","JUNTOS SOMOS RIO NEGRO                                                                              ","6ae56e"
"0570","SOMOS                    ","SOMOS                                                                                               ","a50a55"
"0571","SOMOS CORRIENTES         ","SOMOS CORRIENTES                                                                                    ","dd2111"
"0572","UN NUEVO PAIS (1P)       ","UN NUEVO PAIS (1P)                                                                                  ","edab70"
"0573","UNA RIOJA                ","UNA RIOJA                                                                                           ","691c26"
"0574","UNIDAD CIUDADANA         ","UNIDAD CIUDADANA                                                                                    ","1597d1"
"0575","UNIDAD CIUDADANA PARA LA ","UNIDAD CIUDADANA PARA LA VICTORIA                                                                   ","1597d1"
"0576","UNIDAD PORTEÑA           ","UNIDAD PORTEÑA                                                                                      ","1597d1"
"0577","UNION PARA VIVIR MEJOR - ","UNION PARA VIVIR MEJOR - CAMBIEMOS                                                                  ","ffff00"
"0578","UNION POR CORDOBA        ","UNION POR CORDOBA                                                                                   ","2cc003"
"0579","UNIR TDF                 ","UNIR TDF                                                                                            ","36aa48"
"0580","VAMOS JUNTOS             ","VAMOS JUNTOS                                                                                        ","ffff00"
"0612","NUEVO ZARATE             ","NUEVO ZARATE                                                                                        ","f30d44"
"0661","NUEVO SOCIALISMO MARPLATE","NUEVO SOCIALISMO MARPLATENSE                                                                        ","8b8d24"
"0673","CONSTRUC.SOCIAL PARTICIPA","CONSTRUC.SOCIAL PARTICIPATIVA                                                                       ","990000"
"0697","ACCION POR VILLARINO     ","ACCION POR VILLARINO                                                                                ","414141"
"0705","CON VOCACION POR SAN ISID","CON VOCACION POR SAN ISIDRO                                                                         ","ff0000"
"0737","PROPIN-PROPUESTA PINAMAR ","PROPIN-PROPUESTA PINAMAR                                                                            ","9933FF"
"0738","MIC-MERCEDES INDEPENDIENT","MIC-MERCEDES INDEPENDIENTE COMUNAL                                                                  ","dd2fb7"
"0750","TODOS VECINOS            ","TODOS VECINOS                                                                                       ","F2DDDC"
"0751","CAS-CONCORDANCIA APERTURI","CAS-CONCORDANCIA APERTURISTA SALTENSE                                                               ","9b763a"
"0758","UNOS-UNA NUEVA OPORTUNIDA","UNOS-UNA NUEVA OPORTUNIDAD SUARENSE                                                                 ","D7E4BC"
"0760","VIVILO-VECINOS INDEPENDIE","VIVILO-VECINOS INDEPENDIENTES                                                                       ","e38854"
"0782","UNIDAD PACEÑA            ","UNIDAD PACEÑA                                                                                       ","663300"
"0792","UNION VECINAL SALLIQUELO ","UNION VECINAL SALLIQUELO                                                                            ","CCFF66"
"0793","VECINOS SOLIDARIOS       ","VECINOS SOLIDARIOS                                                                                  ","4e8e32"
"0797","ENTRE TODOS              ","ENTRE TODOS                                                                                         ","03ac03"
"0806","SUR EN MARCHA            ","SUR EN MARCHA                                                                                       ","af204f"
"0807","GEM CATAMARCA            ","GEM CATAMARCA                                                                                       ","fa2bed"
"0809","CORRIENTE DE PENSAMIENTO ","CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO)                                                      ","6e5aee"
"0810","FRENTE UNION FEDERAL     ","FRENTE UNION FEDERAL                                                                                ","8cc041"
"0811","VAMOS                    ","VAMOS                                                                                               ","8d3e9f"
"0812","VAMOS CREANDO CIUDAD NUEV","VAMOS CREANDO CIUDAD NUEVA                                                                          ","850f70"
"0813","PARTIDO SOCIALISTA       ","PARTIDO SOCIALISTA                                                                                  ","b699f2"
"0814","PARTIDO RENOVADOR FEDERAL","PARTIDO RENOVADOR FEDERAL                                                                           ","e038fb"
"0815","MAC-MISION, ACC. Y COMPRO","MAC-MISION, ACC. Y COMPROMISO                                                                       ","b84c25"
"0816","VECINOS SOLIDARIOS DE ALT","VECINOS SOLIDARIOS DE ALTE. BROWN                                                                   ","2fb1a0"
"0817","UVEP-U. VECINALISTA PLATE","UVEP-U. VECINALISTA PLATENSE                                                                        ","bce94e"
"0819","CONS.JUARENSE PARA LA PAR","CONS.JUARENSE PARA LA PART.CIUDADANA                                                                ","c87913"
"0820","PROYECTO ESCOBAR         ","PROYECTO ESCOBAR                                                                                    ","7f7eaa"
"0821","AG.VECINALISTA PROYECTO L","AG.VECINALISTA PROYECTO LOCAL MERLENSE                                                              ","538ED5"
"0822","COMPROMISO VECINAL LA COS","COMPROMISO VECINAL LA COSTA                                                                         ","638fa8"
"0823","UNION VECINAL MAS CAMPANA","UNION VECINAL MAS CAMPANA                                                                           ","c9de35"
"0824","MOVES                    ","MOVES LUJAN                                                                                         ","b01487"
"0827","JUNIN BICENTENARIO       ","JUNIN BICENTENARIO                                                                                  ","7ec4b2"
"0828","P.O.T.-POR OLAVARRIA TODO","P.O.T.-POR OLAVARRIA TODOS                                                                          ","62db64"
"0829","AGRUP.25 DE MAYO ""MERCEDE","AGRUP.25 DE MAYO ""MERCEDES""                                                                         ","1c9db8"
"0836","VALORES PARA MI PAIS NECO","VALORES PARA MI PAIS NECOCHEA                                                                       ","02d2c2"
"0839","ACCION POR PILAR         ","ACCION POR PILAR                                                                                    ","afdd84"
"0840","VALORES PARA MI PAIS     ","VALORES PARA MI PAIS                                                                                ","eb823d"
"0842","VECINALISMO EN ACCION    ","VECINALISMO EN ACCION                                                                               ","3d2092"
"0843","NUEVO PERGAMINO          ","NUEVO PERGAMINO                                                                                     ","417a7a"
"0844","BIEN COMUN POR ROSALES   ","BIEN COMUN POR ROSALES                                                                              ","afbd3f"
"0845","UNION VEC.DE A.GONZALES C","UNION VEC.DE A.GONZALES CHAVES                                                                      ","46068f"
"0847","POR UN NUEVO JUNIN       ","POR UN NUEVO JUNIN                                                                                  ","c17406"
"0848","MOV.VEC.DEL PARTIDO DE TR","MOV.VEC.DEL PARTIDO DE TRES ARROYOS                                                                 ","220925"
"0849","UNION DEL PUEBLO MORENO  ","UNION DEL PUEBLO MORENO                                                                             ","4faf00"
"0850","SUMEMOS PILAR            ","SUMEMOS PILAR                                                                                       ","d1ed9d"
"0851","SIEMPRE ITUZAINGO        ","SIEMPRE ITUZAINGO                                                                                   ","6289cc"
"0852","INTEGRACION BALCARCEÑA   ","INTEGRACION BALCARCEÑA                                                                              ","e837f2"
"0853","JUNTOS POR CHACOMUS      ","JUNTOS POR CHACOMUS                                                                                 ","45e70f"
"0854","ACUERDO BELGRANENSE      ","ACUERDO BELGRANENSE                                                                                 ","d7c423"
"0855","MAR DEL PLATA PUERTO Y RE","MAR DEL PLATA PUERTO Y REGION                                                                       ","7d690c"
"0856","FUERZA VECINAL PARA EL CA","FUERZA VECINAL PARA EL CAMBIO SOCIAL                                                                ","fc7064"
"0857","CAMBIA MENDOZA           ","CAMBIA MENDOZA                                                                                      ","d5772d"
"3001","AGRUPACION 4 DE JUNIO    ","AGRUPACION 4 DE JUNIO                                                                               ","a6fb67"
"3002","CIUDADANOS EN ACCION     ","CIUDADANOS EN ACCION                                                                                ","25d26b"
"3003","FRENTE PERONISTA BARRIAL ","FRENTE PERONISTA BARRIAL                                                                            ","a99268"
"3004","PERONISTAS DE LA PAMPA   ","PERONISTAS DE LA PAMPA                                                                              ","91d6e3"
"3005","PERONISTAS SI, PERSEGUIDO","PERONISTAS SI, PERSEGUIDOS NO (PSPN)                                                                ","cc20e3"
"3006","PROTECTORA               ","PROTECTORA                                                                                          ","bfa925"
"3007","ALTERNATIVA              ","ALTERNATIVA                                                                                         ","d42e0d"
"3009","CELESTE Y BLANCA         ","CELESTE Y BLANCA                                                                                    ","11559d"
"3011","DIGNIDAD CIUDADANA       ","DIGNIDAD CIUDADANA                                                                                  ","f671e8"
"3012","FEDERALISMO PURO         ","FEDERALISMO PURO                                                                                    ","7a3282"
"3013","RECREO SOCIAL            ","RECREO SOCIAL                                                                                       ","acb342"
"3014","ROJO PUNZO               ","ROJO PUNZO                                                                                          ","7012c0"
"3016","COHERENCIA               ","COHERENCIA                                                                                          ","66ee96"
"3017","NARANJA                  ","NARANJA                                                                                             ","181160"
"3018","NARANJA                  ","NARANJA                                                                                             ","fc82c6"
"3019","BLANCA                   ","BLANCA                                                                                              ","73561e"
"3020","UNIDAD                   ","UNIDAD                                                                                              ","511e6a"
"3022","FEDERALISMO Y CIUDADANIA ","FEDERALISMO Y CIUDADANIA                                                                            ","41552a"
"3023","UNIR MI JUJUY            ","UNIR MI JUJUY                                                                                       ","349a09"
"3024","UNION PARA RENOVAR SANTA ","UNION PARA RENOVAR SANTA FE                                                                         ","083456"
"3025","IZQUIERDA AL FRENTE      ","IZQUIERDA AL FRENTE                                                                                 ","95caa2"
"3026","MST - NUEVA IZQUIERDA    ","MST - NUEVA IZQUIERDA                                                                               ","700205"
"3027","UNIDAD                   ","UNIDAD                                                                                              ","371d0a"
"3028","VAMOS POR UNA IZQUIERDA A","VAMOS POR UNA IZQUIERDA AL FRENTE                                                                   ","c96c15"
"3029","LIBRES                   ","LIBRES                                                                                              ","11ced7"
"3030","AGUA, TIERRA, ENERGIAS LI","AGUA, TIERRA, ENERGIAS LIMPIAS - NO A LA PLANTA NUCLEAR                                             ","f2e304"
"3031","ALFREDO BRAVO            ","ALFREDO BRAVO                                                                                       ","06a1e5"
"3032","ENCUENTRO SOCIAL         ","ENCUENTRO SOCIAL                                                                                    ","e6f810"
"3033","LISTA UNICA              ","LISTA UNICA                                                                                         ","1d33b9"
"3034","HACIA EL FRENTE DE IZQUIE","HACIA EL FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                  ","ca8b31"
"3035","UNIDOS POR SANTA FE      ","UNIDOS POR SANTA FE                                                                                 ","a5f246"
"3036","UN SAN LUIS              ","UN SAN LUIS                                                                                         ","2b4808"
"3037","MARGARITA                ","MARGARITA                                                                                           ","1a3bd0"
"3038","FRENTE DE IZQUIERDA      ","FRENTE DE IZQUIERDA                                                                                 ","853f28"
"3039","FRENTE DE IZQUIERDA      ","FRENTE DE IZQUIERDA                                                                                 ","9acffd"
"3040","FRENTE DE IZQUIERDA Y DE ","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ","fb5b71"
"3041","1 ROJA                   ","1 ROJA                                                                                              ","ba9450"
"3042","FRENTE POPULAR           ","FRENTE POPULAR                                                                                      ","38493e"
"3043","FRENTE SOLIDARIO Y POPULA","FRENTE SOLIDARIO Y POPULAR DE LOS TRABAJADORES                                                      ","ab0e96"
"3044","AHORA EL PUEBLO          ","AHORA EL PUEBLO                                                                                     ","965fa8"
"3045","FRENTE POPULAR           ","FRENTE POPULAR                                                                                      ","751c02"
"3046","PENSANDO COMO VOS        ","PENSANDO COMO VOS                                                                                   ","437a38"
"3047","UNIDAD FEDERAL           ","UNIDAD FEDERAL                                                                                      ","439408"
"3048","AMARILLO Y NEGRO         ","AMARILLO Y NEGRO                                                                                    ","0bb3a7"
"3049","CELESTE Y UNIDAD         ","CELESTE Y UNIDAD                                                                                    ","c2f230"
"3050","COMPROMISO CON EL PUEBLO ","COMPROMISO CON EL PUEBLO                                                                            ","a1d894"
"3051","UNIDAD FEDERAL           ","UNIDAD FEDERAL                                                                                      ","99126f"
"3052","CELESTE                  ","CELESTE                                                                                             ","98735e"
"3053","VERDE                    ","VERDE                                                                                               ","1ebfb6"
"3054","MEJOR ES HACER           ","MEJOR ES HACER                                                                                      ","28c068"
"3055","UNIDAD                   ","UNIDAD                                                                                              ","fa8cdc"
"3056","LINEA VERDE MANZANA      ","LINEA VERDE MANZANA                                                                                 ","5fec94"
"3057","PASION POR NEUQUEN       ","PASION POR NEUQUEN                                                                                  ","6d6c08"
"3058","1RO DE MAYO              ","1RO DE MAYO                                                                                         ","3cf5bd"
"3059","AZUL                     ","AZUL                                                                                                ","fdf92e"
"3060","PODEMOS                  ","PODEMOS                                                                                             ","bc9f53"
"3061","ORGULLO FUEGUINO         ","ORGULLO FUEGUINO                                                                                    ","6bb062"
"3062","CELESTE                  ","CELESTE                                                                                             ","336b95"
"3063","COMPROMISO CIUDADANO, TRA","COMPROMISO CIUDADANO, TRABAJO Y HONESTIDAD                                                          ","279102"
"3064","DESARROLLO AGRO INDUSTRIA","DESARROLLO AGRO INDUSTRIAL                                                                          ","b9abeb"
"3065","SANTA FE SEGURA          ","SANTA FE SEGURA                                                                                     ","f83af7"
"3066","ESPACIO Y DESARROLLO     ","ESPACIO Y DESARROLLO                                                                                ","c9c16b"
"3067","ACCION POPULAR           ","ACCION POPULAR                                                                                      ","6ca3a9"
"3068","CRUZADA SANTIAGUEÑA      ","CRUZADA SANTIAGUEÑA                                                                                 ","9ed082"
"3069","LA PATRIA SOMOS TODOS    ","LA PATRIA SOMOS TODOS                                                                               ","965439"
"3070","MOVIMIENTO DE RENOVACION ","MOVIMIENTO DE RENOVACION SANTAFESINA                                                                ","e0b950"
"3071","MUJERES UNIDAS           ","MUJERES UNIDAS                                                                                      ","7afb3f"
"3072","PROTAGONISTAS            ","PROTAGONISTAS                                                                                       ","db5836"
"3073","RED CIUDADANA SANTAFESINA","RED CIUDADANA SANTAFESINA                                                                           ","513827"
"3074","UNA SANTA FE RENOVADA    ","UNA SANTA FE RENOVADA                                                                               ","e92893"
"3075","CELESTE Y BLANCA         ","CELESTE Y BLANCA                                                                                    ","11559d"
"3076","1 PROVINCIA              ","1 PROVINCIA                                                                                         ","fe26bd"
"3077","PROPUESTA AUTONOMISTA    ","PROPUESTA AUTONOMISTA                                                                               ","069dcb"
"3078","AZUL Y BLANCA            ","AZUL Y BLANCA                                                                                       ","3c95b8"
"3079","CELESTE Y BLANCA         ","CELESTE Y BLANCA                                                                                    ","11559d"
